GASSID,RA,DEC
11956,2.08654,15.15601
12025,4.89396,16.20418
12002,6.2667,14.97091
11989,6.49538,13.9294
11994,6.49573,14.34799
27167,9.84028,14.46986
3189,10.09787,14.61375
3261,13.88588,15.77582
3318,15.65954,15.16852
3439,17.27486,14.75578
3465,18.09092,15.01085
3645,18.7573,15.4135
3509,19.29855,13.34094
3524,19.31707,14.62238
3519,19.36713,14.70443
3505,19.44485,13.32348
3504,19.59767,13.62457
3821,25.17783,13.5513
3819,25.42995,13.67579
4094,25.86112,13.32028
4195,27.27541,14.43075
4216,28.96662,14.94026
4137,29.21666,13.21278
4233,29.28051,14.92878
4230,29.29084,14.54988
4223,29.30404,14.73546
4239,29.56764,14.29665
3962,30.99645,14.31038
4017,31.32309,13.50573
3880,31.33284,13.25853
3977,31.93529,14.0816
4030,32.41449,13.98319
4038,32.84092,14.50432
4037,32.87822,14.30053
4039,32.881,14.20067
4045,32.88983,13.91716
4041,32.90393,14.51257
4040,32.91276,14.14176
4048,33.08076,13.61269
4054,33.40625,13.72813
3981,33.51833,13.19898
3985,33.55051,13.4369
4057,33.58021,13.93647
13775,117.9821,27.30297
51276,118.5187,13.95411
31592,118.6324,16.8073
36169,118.6338,16.8042
51416,118.9998,12.98147
51336,119.0713,14.60269
31775,119.1744,17.99118
56375,119.3321,11.20606
56319,120.8448,9.96273
56320,120.9261,10.03327
51580,121.016,15.08846
51563,121.1763,15.77574
56312,121.2347,10.43918
56304,121.3921,10.3934
17135,121.9225,25.9253
26650,122.2616,6.62621
32257,127.4348,22.42441
19918,129.6958,7.48071
32308,129.8935,25.47711
56486,131.3692,14.57379
56509,132.6887,11.81083
8096,133.2291,3.15234
19989,133.6068,8.21139
52297,134.3501,20.71053
32568,134.7408,28.90168
19949,135.0461,7.7261
16695,135.3152,4.1181
25752,135.3524,10.20017
56662,135.7289,13.6607
56612,135.7823,13.69707
56650,135.7842,13.51777
25763,135.7969,10.15197
56632,136.1545,13.55411
16655,136.1648,5.51205
32619,136.2499,28.34773
20041,138.6154,8.07943
20042,138.6836,8.60147
16756,139.3236,6.69766
25852,139.5188,10.8857
16815,139.6306,6.87317
14712,139.7419,5.8884
22436,139.9773,32.93328
25844,139.9989,10.10883
57017,140.622,14.46205
33039,142.6111,27.77556
16841,142.9021,6.95239
20165,143.1332,9.8326
20133,143.1524,9.84054
8335,143.8741,3.65504
8347,144.7437,4.16128
14784,144.847,6.40167
8349,144.9734,3.81395
26056,147.53,12.74613
18702,147.7149,8.22798
22822,147.9371,35.62213
18673,148.2575,7.46012
18686,148.2609,7.84149
18681,148.3524,7.8323
26040,148.4046,12.12926
20292,148.4551,9.19379
20286,148.6644,9.44464
4914,149.1394,1.83584
33737,149.7139,32.07308
26151,149.7865,13.05936
5035,150.4695,3.01132
14831,151.3761,5.67207
18798,153.3736,7.90433
14943,154.0009,6.25145
26221,154.16,12.57738
26368,154.9221,12.84298
18900,155.0067,8.5149
18877,155.1048,7.67717
18887,155.2314,8.31375
8724,155.63,4.58243
26320,155.6613,12.0883
26311,155.7899,12.23953
22999,155.8184,11.85568
23088,156.6504,12.0402
23026,156.8416,11.07998
5204,156.9618,2.60946
55541,158.1958,21.21564
23120,158.3859,11.8756
23194,158.3893,11.87138
26602,158.4476,12.73282
26598,158.4583,12.87836
26570,159.7746,13.36487
23227,159.8048,12.19194
23228,159.8334,11.69116
15181,160.0123,6.02058
26629,160.0865,13.47013
15211,160.1028,6.86048
26639,160.1919,13.78331
15155,160.23,5.99141
15166,160.3381,6.27898
15165,160.4265,6.19592
29555,160.4398,13.89803
23315,160.5031,11.78002
15151,160.7142,5.85989
23320,160.8748,12.08774
23245,160.9128,12.06066
8914,161.0092,4.66301
29594,161.6652,14.11318
29596,161.7618,14.26335
15257,162.0242,6.02067
15242,162.5705,6.12259
23419,162.8271,12.75653
34723,162.892,30.20608
8953,163.1738,4.15387
8945,163.3137,4.3342
23441,163.3176,11.6389
23408,163.3432,11.18067
23450,164.2024,12.09326
23453,164.5012,11.98713
17659,164.5317,9.2761
17640,164.8748,8.70921
5442,165.1355,2.11607
17684,165.1553,10.43721
29624,165.2097,13.59763
29699,167.0764,13.22432
23577,167.4554,12.77148
48369,167.8042,28.7119
12372,168.2669,5.09616
12371,168.2767,5.23417
12318,168.6806,4.02452
48521,169.4121,26.58502
24496,169.5413,7.78165
12455,170.0742,4.32036
12293,170.1218,4.12838
12460,170.2013,3.83918
12458,170.3261,3.66474
29842,170.3823,13.42661
5872,170.6416,3.24391
23685,170.7985,13.11772
522,171.0777,0.64373
48604,171.9428,26.9596
17865,172.3362,8.60233
29892,172.4431,15.33364
12533,172.8168,4.65244
29898,172.9542,15.89748
29871,173.0518,13.49246
18220,181.4011,10.68703
18202,182.8956,9.35192
24149,183.4844,13.67646
30175,184.0111,14.18939
24168,184.0515,13.43762
24183,184.4338,13.17104
24741,184.4617,8.43028
18335,184.7248,10.00282
18421,185.027,10.07479
24094,185.1257,11.34094
30332,185.8011,14.38896
30338,185.8316,14.30374
6375,186.8651,3.30213
18469,188.2146,8.73998
30439,188.543,15.96822
12970,188.9742,5.76106
24426,189.0947,13.60287
12966,189.1344,6.1696
30479,189.2836,14.40748
28143,189.2975,8.6583
30471,189.4717,14.28131
24366,189.9119,12.41888
12983,190.1353,5.35554
28168,190.229,8.05645
50550,190.3667,28.7912
6506,190.789,3.58119
13037,190.8124,4.08389
28461,191.5945,11.87661
6565,192.4092,2.75561
6583,192.7325,3.19703
13005,192.8569,3.86654
26822,192.8711,13.78182
13074,192.8937,5.86356
40494,194.2688,10.62072
40500,194.7962,10.50168
30508,194.8593,14.34169
13227,194.9585,5.04756
40439,196.0627,9.22346
25154,196.2392,12.07907
13159,196.356,3.99159
6749,196.9617,3.19466
40570,197.7706,8.80787
25214,198.1367,11.72896
51025,199.44,26.48633
40781,199.8929,10.45487
51161,201.3449,27.24909
25448,202.5162,12.17519
25347,202.5798,11.51181
25327,203.101,11.10636
40024,203.4092,13.23601
13512,204.0508,4.74009
947,204.1997,1.15389
35649,205.013,29.1373
13551,206.2746,3.80428
7031,206.6966,2.12005
7050,207.2904,2.75321
44718,207.6436,29.37289
13624,207.9684,3.45502
44710,207.987,29.31239
35981,208.2848,35.71403
40317,208.8905,14.76465
44892,209.0388,25.19546
40257,209.676,13.45636
40247,209.9276,12.73683
13666,210.0375,4.08078
44942,210.5246,26.06089
31188,210.8,34.6846
9301,210.8208,4.36317
30746,212.2854,6.18023
7286,213.6335,3.19026
9384,213.791,4.4779
38462,213.9415,10.43886
38472,214.0365,10.59552
38591,214.4188,10.58333
1115,214.5621,0.89111
41323,214.5936,8.0975
30811,214.6904,5.83466
9507,215.1368,5.11065
9483,215.2356,3.87152
9514,215.5405,4.52114
1137,215.8112,0.97835
9463,216.2729,3.23315
7457,216.8074,2.84683
7493,216.8339,2.83838
9551,216.8849,4.82163
9619,217.1388,3.262
9607,217.6819,3.19704
7561,218.3987,2.63871
9814,218.4514,3.95687
9601,218.4643,3.67948
24973,218.8266,35.11868
1221,218.8556,0.33433
9917,220.1083,3.59891
9704,220.2471,3.13709
9948,221.0614,4.21854
41728,221.1431,8.9371
38809,221.5844,10.52219
38758,221.9313,9.53817
38748,222.2474,9.50477
38717,222.3722,9.07921
10019,222.9725,3.36327
42191,223.5156,30.84625
41783,224.3789,8.39066
41743,225.5171,6.82303
38964,225.5681,11.91758
41904,226.3245,8.15355
20790,227.0204,34.38717
41869,227.3396,7.07773
39119,227.3588,10.28844
10218,227.9182,3.67617
39270,228.086,9.34993
42025,228.7815,7.02125
42020,228.8186,6.65515
41969,228.8815,6.37038
42140,228.8832,7.47475
10367,228.9744,3.05031
42013,229.0186,6.84763
42141,229.0798,7.16234
10358,229.2965,3.3516
10404,229.3457,4.21359
41974,229.4929,6.74595
42174,229.5717,7.13251
10447,229.6706,4.41816
42167,229.7236,7.57592
39465,230.1196,8.28517
39548,231.3438,9.7312
39605,231.4993,9.79016
39607,231.7762,9.79621
39595,231.8197,10.04452
39606,231.8197,9.76774
39567,231.9476,9.62491
28365,235.3441,28.22975
26958,236.7264,5.89121
47221,237.2612,17.94044
42402,237.8551,25.76084
31156,239.4667,4.26231
29487,239.4774,9.40994
10817,330.3372,12.1967
10827,330.4475,13.20792
10831,330.8441,12.64934
10813,330.9918,11.90592
10836,331.0809,12.96839
10850,331.4117,12.4226
10841,332.7987,11.80073
10885,333.052,12.20519
10889,333.1503,14.01777
10844,333.2212,12.36632
10872,333.3396,13.43648
10884,333.6276,13.07915
10942,333.8762,13.67317
10943,333.9191,13.60471
10944,333.9319,13.71454
10950,333.998,13.45427
10949,334.0021,13.14773
10948,334.1537,13.25401
10952,334.2415,13.54307
11016,339.0828,14.31453
11015,339.2566,14.40484
11019,339.5441,14.44059
11086,343.8517,13.24828
11087,343.8582,12.9276
11071,344.3612,13.00165
11126,345.2962,13.15904
11132,345.4441,13.53856
11112,345.6679,13.32907
11120,345.9294,13.92654
11223,346.5685,13.98231
11311,348.1218,13.94226
11340,348.3186,14.90436
11298,348.3766,14.06391
11297,348.381,14.32742
11295,348.3947,13.98678
1977,349.5653,0.26118
11270,349.5706,13.57406
11349,349.6509,15.29966
11437,350.5641,14.08073
11408,350.6142,13.81586
11513,350.6645,15.73483
11514,350.8606,15.41956
11386,351.5471,14.03003
11808,358.2388,15.71246
11845,359.1853,13.90986
11824,359.4482,15.61368
